,dialogue_id,turn_id,speaker_role,utterance,dialogue_acts,intents
0,banking_0000,banking_0000_001,Customer,Yes I called earlier to see if you could see any pending deposits on my account. I was just wondering if you could check my account balance for me.,['InformIntent'],CheckAccountBalance
1,banking_0000,banking_0000_039,Customer,Actually yes. Could you also give me the balance on my savings account too? I'm sorry.,['InformIntent'],CheckAccountBalance
2,banking_0000,banking_0000_045,Customer,"OK, could you also tell me what the last deposit and last withdrawal was on the account too?",['InformIntent'],CheckTransactionHistory
3,banking_0001,banking_0001_001,Customer,"yes, I need to change a email that I have on file. Please could you help me with that?",['InformIntent'],UpdateEmail
4,banking_0002,banking_0002_001,Customer,yes. I've lost my phone last week on a trip to Florida. I was down there for my daughter's wedding. I just received a new phone and would like to update my number on file please.,['InformIntent'],UpdatePhoneNumber
5,banking_0003,banking_0003_001,Customer,Yes. I need to Close my account and transfer the remaining funds to another account please.,['InformIntent'],CloseBankAccount
6,banking_0004,banking_0004_001,Customer,Hello I'm calling to transfer the main funds from my closing account to my other account.,['InformIntent'],ExternalWireTransfer
7,banking_0005,banking_0005_005,Customer,I am driving around and I'm trying to locate one of your branches.,['InformIntent'],FindBranch
8,banking_0006,banking_0006_003,Customer,I'm doing good. I need some help please. I am trying to open up a new checking account with you guys.,['InformIntent'],OpenBankingAccount
9,banking_0007,banking_0007_047,Customer,"one more question, what phone number do you have on file? Do you have the the three oh four eight four one number? Cuz I changed my number last month.",['InformIntent'],GetAccountInfo
10,banking_0008,banking_0008_001,Customer,Hi this is Julie Williams. I'm calling to check a balance on my account.,['InformIntent'],CheckAccountBalance
11,banking_0008,banking_0008_016,Customer,"Oh, OK. Can I transfer two hundred dollars from my savings to my checking account?",['InformIntent'],InternalFundsTransfer
12,banking_0009,banking_0009_003,Customer,I have some weird charges on there I never made. Not good.,[],DisputeCharge
13,banking_0010,banking_0010_060,Customer,Yeah just to check the account balance for the checking first.,['InformIntent'],CheckAccountBalance
14,banking_0010,banking_0010_062,Customer,Perfect. OK that's great. And can you go ahead and check the savings for me too?,['InformIntent'],CheckAccountBalance
15,banking_0011,banking_0011_001,Customer,I need to close my accounts.,['InformIntent'],CloseBankAccount
16,banking_0011,banking_0011_029,Customer,"So how long is it gonna take for this to happen, this transfer?",['InformIntent'],AskAboutTransferTime
17,banking_0011,banking_0011_040,Customer,OK. Good. And I do have to change my savings account over.,[],ExternalWireTransfer
18,banking_0012,banking_0012_001,Customer,"Hi, I need to make a transfer from my checking to my savings, please?",['InformIntent'],InternalFundsTransfer
19,banking_0013,banking_0013_001,Customer,"Hi, I need to check the account on my credit. On my credit card.",['InformIntent'],CheckAccountBalance
20,banking_0013,banking_0013_039,Customer,I want. I want to check my savings account.,['InformIntent'],CheckAccountBalance
21,banking_0013,banking_0013_059,Customer,"Yeah, yeah, I better open a checking account so my moms can't get it. Can I. Can I open an account that moms aren't allowed to use? I don't want my mom using my accounts no more.",['InformIntent'],OpenBankingAccount
22,banking_0014,banking_0014_010,Customer,I I want to do a wire transfer.,['InformIntent'],ExternalWireTransfer
23,banking_0016,banking_0016_001,Customer,yes. My name is Randy Appleton and I just got my electric bill and it's much higher than what I was was thinking and I need some help.,['InformIntent'],InternalFundsTransfer
24,banking_0017,banking_0017_001,Customer,Hi I want to transfer funds from my checking account to my savings account. I called earlier about this but I didn't have all the information the agent was requesting on hand. And I think I have it all now and I'd like to do it.,['InformIntent'],InternalFundsTransfer
25,banking_0018,banking_0018_001,Customer,"Yes, I was calling to check the balance of my account.",['InformIntent'],CheckAccountBalance
26,banking_0019,banking_0019_021,Customer,"Say love. OK, can I check my balance when we're done?",['InformIntent'],CheckAccountBalance
27,banking_0020,banking_0020_020,Customer,OK. Well I was I was calling because I'm actually I haven't and been able to have access on my phone for some reason . I'm not getting any bars where I am. and I need to transfer some money from my savings over to my checking so I have access to some money out here.,['InformIntent'],InternalFundsTransfer
28,banking_0020,banking_0020_057,Customer,No worries. And while I have you actually since my phone isn't letting me use it to do any online banking or anything can I bother you to help me find an ATM around here?,['InformIntent'],FindATM
29,banking_0021,banking_0021_001,Customer,Hello this is Peter Davis I want to update my street address.,['InformIntent'],UpdateStreetAddress
30,banking_0022,banking_0022_001,Customer,Yeah I need to make a wire transfer.,['InformIntent'],ExternalWireTransfer
31,banking_0023,banking_0023_001,Customer,yes hey my name is James. I'm trying to locate the nearest branch. Toward me or near me.,['InformIntent'],FindBranch
32,banking_0023,banking_0023_002,Customer,And and also what are the hours of that branch?,['InformIntent'],GetBranchHours
33,banking_0024,banking_0024_001,Customer,Hi this is Peter Davis speaking. I want to make a transfer from my savings account to my checking account please.,['InformIntent'],InternalFundsTransfer
34,banking_0024,banking_0024_019,Customer,OK and I have another question. can you see where the nearest ATM machine is for me?,['InformIntent'],FindATM
35,banking_0024,banking_0024_036,Customer,No no but that ATM does it do cash deposit because I need to do a deposit there.,['InformIntent'],AskAboutCashDeposits
36,banking_0025,banking_0025_001,Customer,yes. My name is Dan Thomas T H O M A S. And I need to check the balance of my savings account please.,['InformIntent'],CheckAccountBalance
37,banking_0025,banking_0025_012,Customer,"can you tell me if gaining any interest on my checking account please, an and what that interest rate might be if I am?",['InformIntent'],CheckAccountInterestRate
38,banking_0025,banking_0025_015,Customer,OK. I probably need to transfer some money out of my savings account to my checking where I can buy those tires.,['InformIntent'],InternalFundsTransfer
39,banking_0026,banking_0026_003,Customer,yeah so I was calling just to check the account balance.,['InformIntent'],CheckAccountBalance
40,banking_0026,banking_0026_049,Customer,no that's definitely not address. that must be my old address. I do new address.,[],UpdateStreetAddress
41,banking_0028,banking_0028_001,Customer,Yes good morning. my name is John Meadows and I'd like to find the closest ATM to where I live.,['InformIntent'],FindATM
42,banking_0028,banking_0028_011,Customer,OK that yeah no that sounds pretty close. Could you verify the balance in my checking account please?,['InformIntent'],CheckAccountBalance
43,banking_0028,banking_0028_037,Customer,OK OK. The let me where would I get a listing of other ATMs as as I'm traveling around the city?,['InformIntent'],FindATM
44,banking_0029,banking_0029_001,Customer,"Hello good morning Joshua, my name is Amber Rose and I'm calling because I want to close down my account.",['InformIntent'],CloseBankAccount
45,banking_0031,banking_0031_001,Customer,"hello. I'm calling because I know this lobby hours for Intellibank, have reduced substantially and, and now you're even closed on Saturday where you used to have at least five hours available. And I'm just trying to understand what this is all about and you know, whatever you can help me with that would be great.",[],GetBranchHours
46,banking_0031,banking_0031_005,Customer,"no, actually I wanted to transfer to another institution if that's OK.",['InformIntent'],ExternalWireTransfer
47,banking_0031,banking_0031_043,Customer,"Yup, that's Summit Hills Bank. and do you know how soon this will happen? The transfer.",['InformIntent'],AskAboutTransferTime
48,banking_0032,banking_0032_001,Customer,"Hey Doug. This is Johan Duly, and I'm down here at the shop I got my Cadillac in here and It's got a leak in the manifold and they say they can fix it today but I got to get the money to them right now, before they can fix it.",['InformIntent'],ExternalWireTransfer
49,banking_0033,banking_0033_003,Customer,Hello. I'm a customer to your bank. My name is Sarah. I want to report about my stolen card.,['InformIntent'],ReportLostStolenCard
50,banking_0033,banking_0033_117,Customer,"Of course, yes. Once you block that one, I want to get a new card that I'll be able to withdraw. I need a new card.",['InformIntent'],RequestNewCard
51,banking_0034,banking_0034_018,Customer,"that's correct. oh is that Intrabank bank ATM at the library location near a parking lot, do you know?",['InformIntent'],GetBranchInfo
52,banking_0035,banking_0035_023,Customer,I mean if there's one close I'd be willing to try it.,[],FindBranch
53,banking_0035,banking_0035_041,Customer,"well I do want to know if I could maybe just, set up the internet account thing with you guys. You know the the internet thingy.",['InformIntent'],SetUpOnlineBanking
54,banking_0037,banking_0037_020,Customer,"OK I definitely want to close it and I definitely want to transfer the money. I have a checking's account that I use pretty much on a regular basis, maybe daily. Anyway, I would like to put the money into that account.",['InformIntent'],InternalFundsTransfer
55,banking_0038,banking_0038_002,Customer,I also need to make a wire transfer.,['InformIntent'],ExternalWireTransfer
56,banking_0039,banking_0039_011,Customer,Oh I see. I see. OK well the reason why I'm calling is I wanna make a transfer of some money from my checking account to my savings account.,['InformIntent'],InternalFundsTransfer
57,banking_0039,banking_0039_021,Customer,the checking account is one five zero one. Zero six. Eight five. and I need to know what my balance is for each one of these accounts. before I make the transfer.,['InformIntent'],CheckAccountBalance
58,banking_0039,banking_0039_029,Customer,yeah actually I need to find an ATM machine.,['InformIntent'],FindATM
59,banking_0039,banking_0039_037,Customer,Oh OK yeah that should be easy to remember. One five seven Mouse Street. OK Oh and you know there's something else that I need to do. I I can't believe I left this to the end. I need to report my credit card stolen.,['InformIntent'],ReportLostStolenCard
60,banking_0040,banking_0040_001,Customer,Hi Amber I'd like to make a wire transfer. Can I do that over the phone?,['InformIntent'],ExternalWireTransfer
61,banking_0040,banking_0040_035,Customer,Is there a fee to do a domestic wire transfer?,['InformIntent'],AskAboutTransferFees
62,banking_0042,banking_0042_001,Customer,"Yes, Jerry. my name is Evelyn Richards. I'm out of town and in New York and I need to make a deposit to cover my car note.",['InformIntent'],FindBranch
63,banking_0042,banking_0042_029,Customer,I do need to see what my available balance is on my checking account.,['InformIntent'],CheckAccountBalance
64,banking_0043,banking_0043_001,Customer,"Finally! Wow, I've been trying to reach you guys for a long time. You know, I just moved into my area and I been I been trying to do some banking transactions on my with with my phone and it has been giving me issues, so I'm trying to see if I can get a branch of your bank that's around here someplace.",['InformIntent'],FindBranch
65,banking_0043,banking_0043_002,Customer,I want to know how I can get my account balance and statement of account and all that. Look I'm finding it difficult to do that.,['InformIntent'],CheckAccountBalance
66,banking_0043,banking_0043_016,Customer,OK. That's good though right now I want to know about my account balance. What's in my account? money? I I don't know because right now I'm tired.,['InformIntent'],CheckAccountBalance
